epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,300.664,1.06653,0.58397,0.89369,0.90973,0.79934,0.86981,0.56958,0.86989,0.49357,0.74971,0.0011882,0.0011882,0.0011882
43,307.818,1.06218,0.59539,0.90254,0.87749,0.81166,0.87656,0.55991,0.90603,0.54387,0.75137,0.0011684,0.0011684,0.0011684
44,314.938,1.06664,0.59022,0.89804,0.91833,0.79037,0.87245,0.5865,0.90864,0.52066,0.75956,0.0011486,0.0011486,0.0011486
45,322.077,1.06832,0.57212,0.89921,0.87822,0.79887,0.86512,0.55731,0.91026,0.50944,0.76438,0.0011288,0.0011288,0.0011288
46,329.243,1.06088,0.58954,0.89588,0.86847,0.84169,0.87642,0.59379,0.82304,0.4784,0.74905,0.001109,0.001109,0.001109
47,336.355,1.06352,0.57976,0.89506,0.90595,0.8272,0.87885,0.59202,0.88588,0.51941,0.75417,0.0010892,0.0010892,0.0010892
48,343.506,1.04985,0.5597,0.8919,0.91546,0.7976,0.8629,0.54014,0.90054,0.62985,0.75482,0.0010694,0.0010694,0.0010694
49,350.64,1.07494,0.57158,0.89578,0.89664,0.78644,0.84667,0.5347,1.03934,0.72598,0.77439,0.0010496,0.0010496,0.0010496
50,357.754,1.04059,0.56079,0.89234,0.93358,0.79636,0.87619,0.56864,0.98302,0.66352,0.77137,0.0010298,0.0010298,0.0010298
51,364.872,1.0247,0.5473,0.88076,0.90116,0.82651,0.87804,0.58421,0.8384,0.49955,0.74888,0.00101,0.00101,0.00101
52,371.992,1.04101,0.56207,0.88962,0.89817,0.8187,0.87903,0.55991,0.90407,0.55369,0.75752,0.0009902,0.0009902,0.0009902
53,379.15,1.02362,0.55172,0.87864,0.88582,0.78754,0.8585,0.56363,0.94645,0.67018,0.76415,0.0009704,0.0009704,0.0009704
54,386.261,1.00834,0.54373,0.87926,0.93179,0.77337,0.87061,0.57413,1.053,0.66639,0.77527,0.0009506,0.0009506,0.0009506
55,393.386,1.03362,0.55056,0.88226,0.89991,0.81303,0.87547,0.56711,0.96272,0.5766,0.76351,0.0009308,0.0009308,0.0009308
56,400.517,1.01209,0.54803,0.89115,0.92258,0.78187,0.86481,0.55397,0.88232,0.50634,0.7516,0.000911,0.000911,0.000911
57,407.635,1.01861,0.5455,0.88827,0.90276,0.81533,0.87456,0.5954,0.94215,0.68182,0.76638,0.0008912,0.0008912,0.0008912
58,414.802,0.99332,0.53309,0.87205,0.92633,0.81303,0.88757,0.58702,0.83987,0.51412,0.74636,0.0008714,0.0008714,0.0008714
59,421.922,1.00939,0.53919,0.88745,0.92227,0.80669,0.88457,0.58172,0.85542,0.46735,0.74608,0.0008516,0.0008516,0.0008516
60,429.09,1.01548,0.53709,0.88428,0.91612,0.81586,0.8675,0.5812,0.87173,0.49984,0.75096,0.0008318,0.0008318,0.0008318
61,436.212,1.00647,0.54129,0.87564,0.90834,0.8272,0.87641,0.58463,0.84736,0.53755,0.75037,0.000812,0.000812,0.000812
62,443.317,0.98182,0.51186,0.87536,0.89845,0.83003,0.88793,0.5754,0.88587,0.56259,0.74716,0.0007922,0.0007922,0.0007922
63,450.446,0.99457,0.52218,0.8821,0.92284,0.81314,0.888,0.59085,0.82885,0.46872,0.74526,0.0007724,0.0007724,0.0007724
64,457.581,1.00012,0.5222,0.87401,0.92566,0.8272,0.89371,0.56411,0.8813,0.52945,0.75296,0.0007526,0.0007526,0.0007526
65,464.744,0.98099,0.5163,0.86994,0.88011,0.83286,0.87749,0.58719,0.84444,0.47718,0.75019,0.0007328,0.0007328,0.0007328
66,471.852,1.01908,0.53085,0.879,0.91386,0.84147,0.89244,0.59583,0.89647,0.52841,0.75745,0.000713,0.000713,0.000713
67,479.063,0.97005,0.50913,0.8798,0.90631,0.82212,0.88525,0.58876,0.87145,0.54985,0.75115,0.0006932,0.0006932,0.0006932
68,486.185,0.96547,0.50633,0.87277,0.89454,0.86508,0.89677,0.60752,0.92432,0.60339,0.76043,0.0006734,0.0006734,0.0006734
69,493.314,0.9807,0.52339,0.87916,0.9216,0.83256,0.8988,0.60188,0.8792,0.54657,0.75193,0.0006536,0.0006536,0.0006536
70,500.445,0.98742,0.5083,0.87468,0.90675,0.83569,0.88638,0.60657,0.79751,0.51602,0.74252,0.0006338,0.0006338,0.0006338
71,507.569,0.99145,0.50218,0.87456,0.91465,0.84998,0.89807,0.59904,0.90099,0.6266,0.75489,0.000614,0.000614,0.000614
72,514.705,0.96169,0.4993,0.87963,0.90627,0.84907,0.89387,0.58682,0.92886,0.56119,0.75785,0.0005942,0.0005942,0.0005942
73,521.849,0.9581,0.49806,0.86915,0.91863,0.83149,0.89426,0.60447,0.90844,0.56771,0.7571,0.0005744,0.0005744,0.0005744
74,528.98,0.97334,0.50244,0.87449,0.92032,0.81801,0.88535,0.58975,0.89427,0.59429,0.75376,0.0005546,0.0005546,0.0005546
75,536.1,0.96456,0.49358,0.87387,0.92237,0.8187,0.89197,0.6078,0.87671,0.51063,0.75061,0.0005348,0.0005348,0.0005348
76,543.235,0.95986,0.49972,0.88227,0.90302,0.84136,0.89882,0.60818,0.78215,0.46446,0.73621,0.000515,0.000515,0.000515
77,550.403,0.95682,0.48644,0.8731,0.89325,0.87252,0.89508,0.59991,0.89226,0.53814,0.75181,0.0004952,0.0004952,0.0004952
78,557.532,0.94549,0.47359,0.87551,0.90546,0.84104,0.8905,0.60522,0.96458,0.62516,0.7713,0.0004754,0.0004754,0.0004754
79,564.685,0.94071,0.482,0.87911,0.88406,0.86969,0.89999,0.60587,0.92705,0.57679,0.76053,0.0004556,0.0004556,0.0004556
80,571.828,0.94159,0.47568,0.86512,0.90512,0.85552,0.89378,0.5897,0.99957,0.64649,0.76916,0.0004358,0.0004358,0.0004358
