epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,302.574,0.96479,0.69745,0.85029,0.81021,0.74308,0.81386,0.54902,0.78375,0.71274,0.71096,0.00023764,0.00023764,0.00023764
43,309.759,0.97046,0.71414,0.86542,0.86183,0.71749,0.82462,0.53257,0.98709,0.8063,0.73526,0.00023368,0.00023368,0.00023368
44,316.976,0.95132,0.68617,0.85621,0.78442,0.78146,0.8274,0.54958,0.89666,0.73499,0.72452,0.00022972,0.00022972,0.00022972
45,324.154,0.95753,0.69034,0.85456,0.80515,0.79419,0.83812,0.55817,0.92412,0.85267,0.72802,0.00022576,0.00022576,0.00022576
46,331.372,0.95766,0.68393,0.85982,0.83717,0.76107,0.82905,0.55414,0.85651,0.65776,0.71879,0.0002218,0.0002218,0.0002218
47,338.529,0.93295,0.66506,0.85263,0.82516,0.8046,0.83513,0.55191,0.82537,0.68901,0.71554,0.00021784,0.00021784,0.00021784
48,345.705,0.95278,0.65732,0.84768,0.82505,0.7558,0.81701,0.54378,0.88495,0.83642,0.72524,0.00021388,0.00021388,0.00021388
49,352.904,0.94062,0.66328,0.84551,0.8137,0.76611,0.82599,0.53107,0.82806,0.64848,0.71195,0.00020992,0.00020992,0.00020992
50,360.08,0.93133,0.654,0.84556,0.83204,0.78186,0.83015,0.54991,0.83428,0.69434,0.71323,0.00020596,0.00020596,0.00020596
51,367.319,0.92378,0.64424,0.84418,0.79019,0.80793,0.83577,0.55243,0.83504,0.63923,0.7186,0.000202,0.000202,0.000202
52,374.478,0.92281,0.64044,0.84666,0.8634,0.7732,0.8414,0.54265,0.93237,0.74948,0.72794,0.00019804,0.00019804,0.00019804
53,381.685,0.90928,0.6241,0.84337,0.81765,0.79479,0.84509,0.56582,0.96655,0.83531,0.73651,0.00019408,0.00019408,0.00019408
54,388.861,0.90842,0.62159,0.83746,0.84604,0.78271,0.84116,0.55473,1.00976,0.8583,0.73899,0.00019012,0.00019012,0.00019012
55,396.062,0.9193,0.62892,0.8451,0.86788,0.7819,0.83576,0.56097,0.95881,0.77129,0.73062,0.00018616,0.00018616,0.00018616
56,403.248,0.89144,0.61069,0.84276,0.87584,0.77936,0.83848,0.55972,0.98996,0.81229,0.73811,0.0001822,0.0001822,0.0001822
57,410.43,0.90687,0.62096,0.84585,0.90384,0.7759,0.85027,0.59292,0.91985,0.7633,0.72769,0.00017824,0.00017824,0.00017824
58,417.636,0.88906,0.60369,0.83668,0.89827,0.74413,0.83579,0.57997,0.9258,0.72927,0.72561,0.00017428,0.00017428,0.00017428
59,424.804,0.90132,0.60963,0.83955,0.85968,0.80273,0.87279,0.57706,0.91082,0.74697,0.72574,0.00017032,0.00017032,0.00017032
60,432.038,0.88659,0.5918,0.84122,0.8686,0.7976,0.85217,0.57426,0.89218,0.70511,0.72373,0.00016636,0.00016636,0.00016636
61,439.202,0.88738,0.5948,0.83422,0.87039,0.77086,0.84211,0.56211,0.86404,0.6942,0.72324,0.0001624,0.0001624,0.0001624
62,446.425,0.86593,0.57612,0.84324,0.84123,0.79728,0.84382,0.56623,0.94866,0.78244,0.73527,0.00015844,0.00015844,0.00015844
63,453.621,0.8812,0.57998,0.83528,0.86859,0.78954,0.84225,0.58556,0.90083,0.69873,0.72783,0.00015448,0.00015448,0.00015448
64,460.8,0.88066,0.57845,0.83646,0.88763,0.77467,0.84843,0.58689,0.95367,0.76431,0.73348,0.00015052,0.00015052,0.00015052
65,467.997,0.87106,0.5718,0.83274,0.92159,0.77041,0.85924,0.59119,0.78742,0.63317,0.71075,0.00014656,0.00014656,0.00014656
66,475.144,0.8774,0.57791,0.83531,0.87025,0.78586,0.8403,0.58491,0.79754,0.61052,0.70941,0.0001426,0.0001426,0.0001426
67,482.34,0.86385,0.5717,0.83602,0.87761,0.77608,0.82965,0.57593,0.81771,0.72886,0.7126,0.00013864,0.00013864,0.00013864
68,489.497,0.85203,0.57376,0.8317,0.87905,0.76344,0.83153,0.58009,0.82569,0.64489,0.71414,0.00013468,0.00013468,0.00013468
