epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4233.22,0.89887,0.43719,0.85383,0.7456,0.8325,0.8329,0.49924,1.28954,0.59761,0.98994,0.00016516,0.00016516,0.00016516
43,4333.78,0.88484,0.43518,0.85578,0.77641,0.84765,0.8685,0.53008,1.2574,0.59006,0.98972,0.000162408,0.000162408,0.000162408
44,4434.56,0.88709,0.43136,0.8547,0.90113,0.80031,0.86836,0.52408,1.27637,0.58904,0.98134,0.000159655,0.000159655,0.000159655
45,4535.21,0.88292,0.42757,0.85291,0.79353,0.82357,0.85559,0.52198,1.26247,0.58155,0.9839,0.000156903,0.000156903,0.000156903
46,4635.94,0.87664,0.42576,0.84982,0.83124,0.78127,0.88273,0.5238,1.2959,0.59732,0.99747,0.000154151,0.000154151,0.000154151
47,4736.56,0.87038,0.4249,0.84977,0.76799,0.86334,0.88054,0.51015,1.28032,0.60382,0.99027,0.000151399,0.000151399,0.000151399
48,4837.3,0.86888,0.42229,0.85139,0.7782,0.8742,0.8738,0.52078,1.30503,0.60111,1.00034,0.000148647,0.000148647,0.000148647
49,4938.01,0.86182,0.41727,0.84672,0.90734,0.778,0.8643,0.51933,1.2996,0.61092,0.99417,0.000145894,0.000145894,0.000145894
50,5038.7,0.85515,0.41313,0.84562,0.93821,0.74001,0.86963,0.52455,1.31061,0.61755,1.0005,0.000143142,0.000143142,0.000143142
51,5139.35,0.85708,0.41236,0.84642,0.81958,0.82102,0.86906,0.54103,1.30126,0.61288,0.99445,0.00014039,0.00014039,0.00014039
52,5240.15,0.85143,0.4104,0.84722,0.81748,0.78946,0.84754,0.51264,1.29676,0.60503,0.9925,0.000137638,0.000137638,0.000137638
53,5340.74,0.84672,0.40875,0.84735,0.90374,0.84255,0.89594,0.53,1.26999,0.57405,0.99713,0.000134886,0.000134886,0.000134886
54,5441.42,0.84361,0.40467,0.84708,0.77919,0.86264,0.88766,0.53205,1.27704,0.57828,0.98742,0.000132133,0.000132133,0.000132133
55,5542,0.84073,0.40575,0.84538,0.93103,0.75985,0.87908,0.5202,1.29942,0.58554,0.98309,0.000129381,0.000129381,0.000129381
56,5642.7,0.83529,0.40303,0.84606,0.79653,0.85616,0.87611,0.52877,1.28141,0.59259,0.99778,0.000126629,0.000126629,0.000126629
57,5743.29,0.83108,0.40152,0.84192,0.79187,0.8689,0.88392,0.55305,1.24914,0.59153,0.98168,0.000123877,0.000123877,0.000123877
58,5844.04,0.83087,0.39648,0.84469,0.83767,0.77206,0.87685,0.54071,1.27036,0.59393,0.99041,0.000121125,0.000121125,0.000121125
59,5944.62,0.81996,0.39516,0.84166,0.84392,0.7806,0.88001,0.55035,1.23944,0.58314,0.98407,0.000118372,0.000118372,0.000118372
60,6045.23,0.81386,0.39127,0.84043,0.78187,0.86345,0.88119,0.53751,1.2605,0.58909,0.99194,0.00011562,0.00011562,0.00011562
61,6145.88,0.80957,0.39153,0.83943,0.89783,0.82058,0.87239,0.52425,1.25513,0.59799,0.99106,0.000112868,0.000112868,0.000112868
62,6246.46,0.80017,0.38189,0.83901,0.81609,0.80147,0.89268,0.53739,1.27194,0.57796,0.9921,0.000110116,0.000110116,0.000110116
63,6347.19,0.80611,0.38627,0.83842,0.82231,0.7757,0.87823,0.55283,1.26054,0.60225,0.99141,0.000107364,0.000107364,0.000107364
64,6447.86,0.79859,0.38169,0.8367,0.82973,0.78337,0.88369,0.53639,1.26955,0.5929,1.00001,0.000104611,0.000104611,0.000104611
65,6548.47,0.79949,0.3836,0.83827,0.78021,0.88123,0.88865,0.53107,1.27818,0.57907,1.0003,0.000101859,0.000101859,0.000101859
66,6649.12,0.7929,0.38146,0.83436,0.84059,0.78756,0.89352,0.53591,1.25369,0.57823,0.99282,9.9107e-05,9.9107e-05,9.9107e-05
67,6749.7,0.7831,0.37774,0.83341,0.84611,0.78067,0.89297,0.53717,1.27003,0.58381,0.99039,9.63548e-05,9.63548e-05,9.63548e-05
68,6850.41,0.78196,0.37745,0.83679,0.8434,0.78359,0.89109,0.52889,1.26353,0.60095,0.99335,9.36026e-05,9.36026e-05,9.36026e-05
69,6951.09,0.78334,0.375,0.83459,0.85638,0.77084,0.89435,0.53293,1.25768,0.59456,0.98837,9.08504e-05,9.08504e-05,9.08504e-05
70,7051.76,0.78117,0.37247,0.83515,0.79777,0.88982,0.89416,0.53055,1.25195,0.58005,0.98719,8.80982e-05,8.80982e-05,8.80982e-05
71,7152.42,0.7759,0.37041,0.83256,0.78333,0.87249,0.89051,0.54054,1.2383,0.57332,0.9894,8.5346e-05,8.5346e-05,8.5346e-05
72,7253.07,0.77262,0.36988,0.83401,0.80581,0.89167,0.89587,0.54186,1.26363,0.57937,0.98981,8.25938e-05,8.25938e-05,8.25938e-05
73,7353.8,0.7614,0.3667,0.83473,0.79812,0.8703,0.8936,0.54007,1.2612,0.5774,0.99372,7.98416e-05,7.98416e-05,7.98416e-05
74,7454.46,0.76155,0.36387,0.82916,0.84088,0.81881,0.88282,0.54181,1.26257,0.57973,0.99254,7.70894e-05,7.70894e-05,7.70894e-05
75,7555.24,0.75856,0.36281,0.82828,0.84349,0.82455,0.88998,0.53963,1.25994,0.57628,0.99649,7.43372e-05,7.43372e-05,7.43372e-05
76,7655.99,0.7661,0.36387,0.83076,0.84273,0.8405,0.89681,0.54396,1.25636,0.5848,0.9904,7.1585e-05,7.1585e-05,7.1585e-05
77,7756.63,0.75183,0.35838,0.82717,0.84398,0.83254,0.88843,0.54913,1.26966,0.5699,0.99559,6.88328e-05,6.88328e-05,6.88328e-05
78,7857.32,0.74511,0.36007,0.82618,0.83736,0.84892,0.89107,0.55595,1.24801,0.56738,0.99354,6.60806e-05,6.60806e-05,6.60806e-05
79,7957.96,0.73782,0.3532,0.82611,0.87009,0.79418,0.88128,0.54392,1.25485,0.58476,0.99932,6.33284e-05,6.33284e-05,6.33284e-05
80,8058.61,0.73823,0.35423,0.82914,0.86966,0.79474,0.88152,0.54171,1.27531,0.5932,1.00292,6.05762e-05,6.05762e-05,6.05762e-05
81,8159.26,0.72949,0.35098,0.82666,0.84736,0.82023,0.88087,0.54556,1.27093,0.58494,1.00451,5.7824e-05,5.7824e-05,5.7824e-05
82,8259.95,0.73702,0.35266,0.82588,0.84309,0.85242,0.89506,0.54404,1.26422,0.60125,1.00622,5.50718e-05,5.50718e-05,5.50718e-05
83,8360.56,0.72914,0.34784,0.82677,0.83536,0.83109,0.88533,0.54219,1.26317,0.59748,1.00059,5.23196e-05,5.23196e-05,5.23196e-05
84,8461.3,0.71681,0.34389,0.82505,0.81708,0.84618,0.87932,0.53761,1.25985,0.5945,0.99727,4.95674e-05,4.95674e-05,4.95674e-05
85,8561.99,0.71881,0.34434,0.8244,0.92487,0.81839,0.8857,0.54362,1.25,0.58105,0.9947,4.68152e-05,4.68152e-05,4.68152e-05
86,8662.57,0.71427,0.34388,0.82576,0.84217,0.82845,0.88528,0.54208,1.24325,0.57873,0.99272,4.4063e-05,4.4063e-05,4.4063e-05
87,8763.2,0.7145,0.34131,0.82565,0.92968,0.81763,0.88586,0.55314,1.23882,0.57824,0.99368,4.13108e-05,4.13108e-05,4.13108e-05
88,8863.78,0.70983,0.34262,0.82128,0.92934,0.84266,0.89755,0.54925,1.24935,0.58003,0.99634,3.85586e-05,3.85586e-05,3.85586e-05
89,8964.5,0.7051,0.33869,0.82323,0.85188,0.85236,0.89867,0.55137,1.25584,0.58727,1.00149,3.58064e-05,3.58064e-05,3.58064e-05
90,9065.07,0.70203,0.33646,0.82353,0.85597,0.84852,0.89849,0.54285,1.25817,0.57522,1.00386,3.30542e-05,3.30542e-05,3.30542e-05
91,9165.82,0.71102,0.33252,0.82469,0.82563,0.84434,0.87872,0.54368,1.27013,0.59064,1.00728,3.0302e-05,3.0302e-05,3.0302e-05
92,9266.25,0.70182,0.33018,0.82151,0.84047,0.85955,0.8988,0.54322,1.27185,0.57716,1.00662,2.75498e-05,2.75498e-05,2.75498e-05
93,9366.58,0.68992,0.3256,0.82255,0.84621,0.85501,0.89958,0.55109,1.26834,0.57707,1.00717,2.47976e-05,2.47976e-05,2.47976e-05
94,9466.89,0.68833,0.3248,0.82154,0.8385,0.83868,0.88738,0.54713,1.26958,0.58263,1.00814,2.20454e-05,2.20454e-05,2.20454e-05
95,9567.27,0.6817,0.32177,0.82017,0.84702,0.85257,0.89838,0.54959,1.27505,0.5789,1.00808,1.92932e-05,1.92932e-05,1.92932e-05
96,9667.58,0.67735,0.32046,0.82014,0.84689,0.85446,0.89809,0.55108,1.27656,0.57467,1.0075,1.6541e-05,1.6541e-05,1.6541e-05
97,9768.02,0.67438,0.31984,0.8174,0.84653,0.86004,0.89887,0.54571,1.27515,0.57277,1.0044,1.37888e-05,1.37888e-05,1.37888e-05
98,9868.36,0.67427,0.32053,0.81902,0.82561,0.84987,0.88586,0.54857,1.27199,0.59101,1.00545,1.10366e-05,1.10366e-05,1.10366e-05
99,9968.78,0.67093,0.31755,0.81724,0.81626,0.85744,0.88854,0.55031,1.27595,0.59074,1.00641,8.2844e-06,8.2844e-06,8.2844e-06
100,10069.1,0.66741,0.31734,0.81789,0.80797,0.85926,0.88657,0.54966,1.27571,0.59039,1.00753,5.5322e-06,5.5322e-06,5.5322e-06
